id,url,title,text,owner,datetime
22231527,https://t.me/tsn_ua/271109,"ЗСУ починають переходити в наступ: окупанти вистрілюють всі боєкомплекти, аби їх якнайшвидше забрали з України Читати далі","ЗСУ починають переходити в наступ: окупанти вистрілюють всі боєкомплекти, аби їх якнайшвидше забрали з України Читати далі",ТСН,2022-03-26T16:15:14+00:00
22231529,https://t.me/tsn_ua/271104,"""З обережним оптимізмом"": Резніков оцінив зустріч з Байденом Читати далі","""З обережним оптимізмом"": Резніков оцінив зустріч з Байденом Читати далі",ТСН,2022-03-26T16:15:07+00:00
22231545,https://t.me/tsn_ua/271105,"Немає світла, води та газу: оперативна ситуація у районах Херсонської області Читати далі","Немає світла, води та газу: оперативна ситуація у районах Херсонської області Читати далі",ТСН,2022-03-26T16:15:09+00:00
22231547,https://t.me/tsn_ua/271112,"Байден назвав Путіна ""м'ясником"" після розмови з українцями в Польщі Читати далі","Байден назвав Путіна ""м'ясником"" після розмови з українцями в Польщі Читати далі",ТСН,2022-03-26T16:15:18+00:00
22231550,https://t.me/tsn_ua/271106,Вибухи у Львові: голова ОВА повідомив подробиці Читати далі,Вибухи у Львові: голова ОВА повідомив подробиці Читати далі,ТСН,2022-03-26T16:15:11+00:00
22231553,https://t.me/tsn_ua/271113,Війська РФ обстріляли університет внутрішніх справ у Харкові Читати далі,Війська РФ обстріляли університет внутрішніх справ у Харкові Читати далі,ТСН,2022-03-26T16:15:20+00:00
22231554,https://t.me/tsn_ua/271107,В українських біженців за кордоном виникають проблеми з легалізацією: прикордонники нагадали про важливий нюанс Читати далі,В українських біженців за кордоном виникають проблеми з легалізацією: прикордонники нагадали про важливий нюанс Читати далі,ТСН,2022-03-26T16:15:12+00:00
22231558,https://t.me/tsn_ua/271108,"Карантин в Україні: п'ять регіонів залишать ""червону"" зону Читати далі","Карантин в Україні: п'ять регіонів залишать ""червону"" зону Читати далі",ТСН,2022-03-26T16:15:13+00:00
22231561,https://t.me/tsn_ua/271115,Українська ППО збила російський військовий літак та безпілотник Читати далі,Українська ППО збила російський військовий літак та безпілотник Читати далі,ТСН,2022-03-26T16:15:22+00:00
22231562,https://t.me/tsn_ua/271110,"""Послаблює їхні позиції"": Арестович оцінив звільнення російських командирів за провали в Україні Читати далі","""Послаблює їхні позиції"": Арестович оцінив звільнення російських командирів за провали в Україні Читати далі",ТСН,2022-03-26T16:15:16+00:00
